"first_name","last_name","gender","DOB","Age","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","address","postcode","state","property_valuation"
"Bessie","Roscow","F","1994-08-04",29,78,"GIS Technical Architect","Financial Services","Mass Customer","No",9,"4185 Florence Trail",2121,"NSW",10
"Aurie","Rhead","F","1962-07-28",61,78,"Geological Engineer","Manufacturing","Affluent Customer","Yes",5,"235 Mendota Court",2650,"NSW",2
"Laurel","Devennie","F","1976-09-25",46,78,"VP Product Management","Manufacturing","Affluent Customer","No",13,"069 Hoard Pass",4352,"QLD",5
"Afton","Andrassy","F","1998-10-14",24,78,"Web Designer II","Retail","Mass Customer","No",7,"220 Cody Alley",3075,"VIC",8
"Brena","Schnitter","F","1982-10-11",40,78,"Account Executive","Manufacturing","Mass Customer","No",4,"67 Shelley Street",4703,"QLD",5
"Aundrea","Outridge","F","2001-01-24",22,77,"Structural Engineer","Financial Services","Affluent Customer","Yes",10,"1530 Columbus Lane",3186,"VIC",12
"Jacklin","Duchant","F","1940-03-18",83,77,"Legal Assistant","Argiculture","Mass Customer","No",17,"9 Memorial Road",4132,"QLD",4
"Artemis","Swanson","M","1977-02-12",46,77,"Web Designer II","Argiculture","Mass Customer","Yes",13,"5 Melvin Park",3810,"VIC",5
"Ansell","Tolhurst","M","1949-08-11",74,77,"Chemical Engineer","Manufacturing","Affluent Customer","No",22,"13 Montana Place",2232,"NSW",10
"Darlleen","Shalcras","F","1980-09-14",43,77,"Health Coach I","Health","Mass Customer","No",11,"383 Graceland Avenue",2010,"NSW",10
"Olia","O' Mullan","F","1973-03-24",50,77,"Account Executive","Health","Mass Customer","No",8,"6315 Mendota Parkway",2263,"NSW",7
"Mabelle","Wellbelove","F","1958-04-21",65,76,"Null","Financial Services","Affluent Customer","Yes",19,"800 Emmet Park",2219,"NSW",9
"Lotty","Loach","F","1961-08-23",62,76,"Nurse","Health","High Net Worth","Yes",7,"78451 South Street",2380,"NSW",3
"Brooke","Arling","M","1961-12-05",61,76,"Null","Null","High Net Worth","No",6,"6 Melby Center",3027,"VIC",5
"Farlie","Petford","M","1968-03-25",55,76,"Recruiting Manager","Null","High Net Worth","No",13,"2330 Butternut Trail",2017,"NSW",10
"Melany","Ladewig","F","1972-05-17",51,76,"Research Associate","Financial Services","Mass Customer","Yes",10,"3864 Sheridan Alley",4130,"QLD",7
"Salomon","Perkins","M","1998-01-12",25,76,"Engineer IV","Financial Services","Affluent Customer","Yes",1,"45 Banding Hill",2009,"NSW",10
"Lea","Ilyinski","F","1997-09-25",25,75,"Structural Analysis Engineer","Financial Services","High Net Worth","No",12,"895 Glendale Park",2026,"NSW",12
"Son","Varney","M","1993-11-02",29,75,"Analog Circuit Design manager","Property","Mass Customer","Yes",10,"189 Bayside Court",2480,"NSW",7
"Laurie","Odlin","F","1983-03-08",40,75,"Social Worker","Health","High Net Worth","No",10,"15669 Arizona Trail",3194,"VIC",10
"Briant","Ladley","M","1979-12-17",43,75,"Recruiter","Argiculture","Mass Customer","No",12,"2 Schlimgen Terrace",2750,"NSW",8
"Felice","Dechelette","M","1998-02-05",25,75,"Librarian","Entertainment","High Net Worth","No",3,"4 Kingsford Trail",4051,"QLD",4
"Fara","Sarath","F","1948-06-30",75,75,"Quality Control Specialist","Null","Mass Customer","No",22,"540 Forest Run Plaza",2168,"NSW",7
"Isa","Fominov","M","2001-06-21",22,75,"Physical Therapy Assistant","Null","Mass Customer","Yes",5,"80388 Ryan Place",2010,"NSW",9
"Norah","Mapis","F","2000-12-09",22,75,"Assistant Manager","Argiculture","Mass Customer","No",10,"057 Victoria Crossing",2263,"NSW",9
"Cathleen","Le Teve","F","1950-11-06",72,75,"Recruiting Manager","Null","High Net Worth","No",18,"32834 Caliangt Way",4211,"QLD",3
"Jesse","Crosio","M","1994-04-15",29,75,"Data Coordiator","Null","Mass Customer","Yes",13,"9313 Mayer Street",3133,"VIC",8
"Dorotea","Fenwick","F","1950-10-12",72,74,"Nurse","Financial Services","High Net Worth","No",12,"72 Lukken Crossing",2016,"NSW",11
"Tillie","Bisseker","F","1960-08-10",63,74,"Civil Engineer","Manufacturing","High Net Worth","No",14,"59208 Barnett Avenue",2104,"NSW",12
"Noami","Cokly","F","1962-09-17",61,74,"Null","Manufacturing","Mass Customer","Yes",15,"2886 Buena Vista Terrace",2038,"NSW",11
"Nancie","Vian","F","1972-12-27",50,74,"Human Resources Assistant II","Retail","Mass Customer","Yes",10,"85 Carioca Point",4814,"QLD",5
"Delinda","Ech","F","1944-10-21",78,74,"Environmental Specialist","Argiculture","Mass Customer","Yes",17,"28 Golf View Terrace",3101,"VIC",10
"Bill",NULL,"F","1963-04-24",60,74,"Human Resources Assistant II","Property","Mass Customer","Yes",19,"6704 Pine View Lane",2170,"NSW",9
"Hanson","Eastes","M","1990-05-20",33,74,"Null","Manufacturing","Mass Customer","Yes",5,"5735 Starling Plaza",3056,"VIC",9
"Cammy","Stoneham","F","1963-05-02",60,74,"Business Systems Development Analyst","Financial Services","High Net Worth","No",14,"8648 Green Alley",4680,"QLD",3
"Maurizio","Comi","M","1996-05-30",27,74,"VP Product Management","IT","Affluent Customer","No",10,"25805 Eagan Place",2766,"NSW",9
"Logan","Colomb","M","1948-01-01",75,74,"Recruiter","Null","Mass Customer","Yes",19,"266 Lakewood Terrace",2761,"NSW",8
"Clari","Voas","F","1955-07-28",68,74,"Human Resources Assistant II","Health","Affluent Customer","Yes",14,"4110 Mifflin Center",2127,"NSW",8
"Sibylla","Kibble","F","1962-08-05",61,73,"Pharmacist","Health","High Net Worth","No",12,"3 Ruskin Hill",2122,"NSW",9
"Kevina","Ferandez","F","1999-09-21",23,73,"Assistant Professor","Financial Services","High Net Worth","No",15,"9608 Heffernan Drive",4068,"QLD",9
"Rupert","Marrow","M","1970-08-08",53,73,"Null","Property","High Net Worth","No",19,"2 7th Way",2760,"NSW",8
"Carola","Philler","F","1951-04-30",72,73,"Dental Hygienist","Health","High Net Worth","No",15,"1037 Roth Park",2145,"NSW",7
"Vinny","Incogna","F","1953-02-13",70,73,"Null","Health","High Net Worth","No",10,"8 Grayhawk Circle",2756,"NSW",8
"Julietta","Setchfield","F","1992-01-31",31,73,"Operator","Null","High Net Worth","Yes",3,"4 Manufacturers Crossing",4170,"QLD",8
"Stephen","Tittershill","M","1991-12-21",31,73,"Nurse Practicioner","Financial Services","High Net Worth","No",6,"8 Scott Drive",3150,"VIC",11
"Benedict","Rosas","M","1955-11-25",67,73,"Actuary","Financial Services","High Net Worth","Yes",15,"898 Muir Court",2142,"NSW",6
"Sonni","Milligan","F","1988-03-05",35,73,"Budget/Accounting Analyst III","Retail","Mass Customer","Yes",14,"04769 Dahle Plaza",3170,"VIC",9
"Demetria","Bausor","F","1961-12-22",61,73,"Assistant Media Planner","Entertainment","Mass Customer","Yes",9,"97 Transport Plaza",2097,"NSW",12
"Emelia","Ackwood","F","1988-09-30",34,72,"Senior Cost Accountant","Financial Services","Mass Customer","Yes",10,"1 South Street",4183,"QLD",9
"Arel","Abramovitz","M","1957-11-12",65,72,"Nurse Practicioner","Health","Mass Customer","No",16,"32249 Sycamore Way",4650,"QLD",4
"David","Napoleon","M","1961-11-05",61,72,"Structural Engineer","Null","High Net Worth","No",14,"69 Garrison Point",2223,"NSW",11
"Barthel","Docket","M","1985-08-02",38,72,"Accounting Assistant IV","IT","Mass Customer","Yes",17,"80 Scofield Junction",4151,"QLD",5
"Antoinette",NULL,"F","1980-07-28",43,72,"Structural Analysis Engineer","Financial Services","Affluent Customer","No",5,"9 Derek Alley",3058,"VIC",9
"Loria","Tappington","F","1955-09-06",68,72,"Research Assistant IV","Property","Mass Customer","No",5,"3920 Swallow Junction",3038,"VIC",8
"Dmitri",NULL,"M","1991-02-06",32,72,"Null","Financial Services","High Net Worth","Yes",15,"4 Mallory Pass",3690,"VIC",4
"Alexina","Mabley","F","1975-10-12",47,72,"Web Designer IV","Manufacturing","Mass Customer","Yes",10,"9 Rieder Junction",2573,"NSW",9
"Aloysius","Glowacz","M","1979-03-24",44,72,"Financial Advisor","Financial Services","Affluent Customer","No",18,"07 Susan Lane",2232,"NSW",10
"Tyne","Anshell","F","1992-04-08",31,71,"Mechanical Systems Engineer","Null","Mass Customer","Yes",3,"93 Sutherland Terrace",2560,"NSW",8
"Lucilia","Minshall","F","1952-04-15",71,71,"Null","IT","Mass Customer","Yes",7,"0237 Mallard Place",2750,"NSW",8
"Ashby","Bispham","M","1981-10-29",41,71,"Software Consultant","Retail","Affluent Customer","No",4,"83716 Russell Lane",2145,"NSW",8
"Keely","Bointon","F","1988-10-16",34,71,"Nurse","Telecommunications","High Net Worth","No",3,"55 Dorton Point",4154,"QLD",9
"Claudine","Barstowk","F","1966-07-20",57,71,"Nurse","Property","High Net Worth","Yes",5,"1859 Forest Circle",4000,"QLD",11
"Jaimie","Lancastle","M","1972-10-23",50,71,"VP Marketing","Null","Mass Customer","Yes",5,"0 Bay Drive",2750,"NSW",8
"Amabel",NULL,"F","1981-09-14",42,71,"Chief Design Engineer","Financial Services","Mass Customer","Yes",9,"3128 Mallory Pass",2144,"NSW",6
"Elsworth","Abbitt","M","1956-02-08",67,71,"Null","Health","Mass Customer","Yes",6,"9722 Northport Way",3500,"VIC",3
"Sherwin","Minocchi","M","1947-07-13",76,71,"Project Manager","Null","Mass Customer","Yes",11,"1 Alpine Crossing",2536,"NSW",8
"Mikel","McNess","M","1981-09-22",41,71,"Nurse","Null","Mass Customer","No",9,"3 Pleasure Drive",4122,"QLD",9
"Keriann","Newham","F","1975-03-26",48,71,"Assistant Manager","Financial Services","Mass Customer","No",5,"0193 Northland Street",4179,"QLD",9
"Inglebert","Butland","M","1966-01-30",57,71,"Actuary","Financial Services","Mass Customer","Yes",7,"51837 Canary Center",2114,"NSW",9
"Harvey","Dwelley","M","1973-08-30",50,70,"Help Desk Technician","Financial Services","Affluent Customer","No",18,"59846 2nd Pass",2077,"NSW",9
"Jamison","Cashin","M","1970-05-19",53,70,"VP Product Management","Health","Mass Customer","Yes",5,"7 Dunning Avenue",2477,"NSW",8
"Loise","Iltchev","F","1967-03-18",56,70,"Electrical Engineer","Manufacturing","High Net Worth","Yes",17,"45 Becker Place",4504,"QLD",6
"Rodrique","Vernon","M","1978-08-06",45,70,"Budget/Accounting Analyst III","Manufacturing","Affluent Customer","No",17,"5864 Mcbride Trail",3174,"VIC",8
"Bartram","Di Lucia","M","1961-01-03",62,70,"Null","Argiculture","Mass Customer","Yes",5,"83509 Delaware Street",2480,"NSW",3
"Tristam","Larose","M","1985-01-29",38,70,"VP Accounting","Financial Services","Mass Customer","No",17,"9645 Moose Terrace",2137,"NSW",11
"Jeanne","Darte","F","1955-08-18",68,70,"Null","Null","Mass Customer","Yes",11,"3 Homewood Park",2756,"NSW",7
"Timi","Duny","F","1953-03-12",70,70,"Office Assistant II","Telecommunications","High Net Worth","No",6,"39192 Glendale Alley",2092,"NSW",12
"Raff","Waycott","M","1951-12-16",71,70,"Engineer IV","Manufacturing","Affluent Customer","Yes",14,"94694 Eagle Crest Terrace",3977,"VIC",7
"Brien","Heaton","M","1951-11-28",71,70,"Clinical Specialist","Health","Mass Customer","Yes",12,"8 Novick Trail",2470,"NSW",2
"Kata","Harrop","F","1950-05-04",73,70,"Null","Retail","Affluent Customer","Yes",13,"2 Ridgeway Avenue",2196,"NSW",10
"Gilli","Christophers","F","1948-03-02",75,70,"Database Administrator IV","Property","Affluent Customer","Yes",17,"53870 Jay Pass",4575,"QLD",9
"Myrtie","Ostrich","F","1996-06-18",27,70,"VP Quality Control","Property","Affluent Customer","Yes",9,"320 Acker Drive",2251,"NSW",7
"Taber","Szymon","M","1947-04-22",76,70,"Senior Sales Associate","Argiculture","Affluent Customer","No",13,"984 Del Sol Junction",4659,"QLD",8
"Davidde","Cockroft","M","1947-04-21",76,70,"Geological Engineer","Manufacturing","High Net Worth","No",8,"8 Kim Avenue",2158,"NSW",12
"Cheston","Hritzko","M","1945-11-08",77,70,"Software Engineer III","Manufacturing","Mass Customer","Yes",19,"3 Service Center",2127,"NSW",9
"Alfonso","Massel","M","1940-12-05",82,70,"Null","Null","Mass Customer","Yes",13,"6065 Talisman Crossing",3977,"VIC",7
"Romonda","Hallt","F","1960-05-09",63,69,"Operator","Null","Affluent Customer","No",15,"703 Ludington Plaza",2480,"NSW",4
"Rosmunda","Duxbarry","F","1996-07-20",27,69,"Executive Secretary","Property","Affluent Customer","Yes",5,"989 Graedel Terrace",4208,"QLD",11
"Meade","Bampton","M","1982-04-25",41,69,"Health Coach III","Health","High Net Worth","No",17,"7870 Stuart Crossing",2090,"NSW",7
"Kelsey","Hatt","F","1966-06-27",57,69,"Senior Sales Associate","Financial Services","High Net Worth","No",8,"309 Maple Wood Pass",3930,"VIC",6
"Rikki","Chaffey","M","1945-06-11",78,69,"Chemical Engineer","Manufacturing","Mass Customer","No",20,"9 Spohn Way",4127,"QLD",1
"Morly","Genery","M","1970-03-22",53,69,"Structural Engineer","Property","Mass Customer","No",16,"14 Mccormick Park",2113,"NSW",11
"Willard","Booton","M","1938-09-02",85,69,"Null","Health","High Net Worth","Yes",7,"05 Ronald Regan Alley",2121,"NSW",9
"Nils","Champion","M","1984-07-06",39,69,"Programmer III","Retail","Affluent Customer","No",13,"261 Holy Cross Park",2750,"NSW",9
"Giorgi","O'Shirine","M","1981-06-20",42,68,"Payment Adjustment Coordinator","Retail","Mass Customer","Yes",15,"6 Novick Alley",3934,"VIC",8
"Eustacia","Dornan","F","1985-09-02",38,68,"Account Representative IV","Property","Mass Customer","No",5,"1190 Hanson Street",3806,"VIC",9
"Biddie","Gorce","F","1988-01-30",35,68,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",5,"2116 Continental Terrace",2795,"NSW",7
"George","Jose","M","1960-12-19",62,68,"Payment Adjustment Coordinator","Retail","High Net Worth","Yes",20,"535 Corben Point",4680,"QLD",4
"Sinclair","Wark","M","1974-02-21",49,68,"Financial Analyst","Financial Services","Mass Customer","Yes",11,"44 Thompson Center",2134,"NSW",9
"Anson","Dearnaly","M","1997-06-29",26,68,"Data Coordiator","Health","Affluent Customer","Yes",11,"6060 Veith Crossing",2103,"NSW",11
"Bevvy","Openshaw","F","1975-06-15",48,68,"Staff Scientist","Null","Affluent Customer","Yes",10,"902 Westend Lane",2318,"NSW",3
"Arman","Yakubov","M","1977-10-07",45,68,"VP Quality Control","Property","High Net Worth","Yes",17,"11121 Jackson Crossing",2323,"NSW",4
"Fancie","Woofendell","F","1966-09-17",57,68,"Research Nurse","Health","Mass Customer","Yes",6,"8 Crowley Center",4212,"QLD",7
"Angie","Tansley","M","1950-11-30",72,68,"VP Sales","Manufacturing","Mass Customer","No",8,"8 Cardinal Junction",2444,"NSW",7
"Jeno","Strafford","M","1941-07-21",82,67,"Tax Accountant","Financial Services","High Net Worth","No",7,"891 Sachtjen Hill",4170,"QLD",9
"Keenan","Moriarty","M","1994-12-23",28,67,"Actuary","Financial Services","Mass Customer","Yes",2,"077 Hansons Point",4075,"QLD",8
"Philbert","Bangs","M","1966-03-03",57,67,"Environmental Specialist","IT","Mass Customer","Yes",6,"02643 Moose Court",4500,"QLD",7
